,viajeros
2009-01-01,113501.9105347593
2009-02-01,84955.62695957822
2009-03-01,101022.15000000002
2009-04-01,117166.5699173554
2009-05-01,86209.17765069555
2009-06-01,100317.85999999988
2009-07-01,98580.17136557611
2009-08-01,127952.37999999983
2009-09-01,100740.62845637582
2009-10-01,114790.47000000002
2009-11-01,129154.39000000013
2009-12-01,160856.76770897835
2010-01-01,128686.18999999996
2010-02-01,94475.84999999999
2010-03-01,99563.37759112522
2010-04-01,122941.12000000005
2010-05-01,100955.49999999997
2010-06-01,104139.40999999995
2010-07-01,128350.42304347822
2010-08-01,129394.93148325359
2010-09-01,98279.70892086334
2010-10-01,118313.46000000002
2010-11-01,133139.2100000001
2010-12-01,170814.27
2011-01-01,137656.82235294118
2011-02-01,101370.77333333332
2011-03-01,116728.52650994893
2011-04-01,142227.7819708029
2011-05-01,106011.87999999996
2011-06-01,113845.52999999998
2011-07-01,134802.6886013986
2011-08-01,126446.21624815492
2011-09-01,108097.18508196721
2011-10-01,114186.08878067983
2011-11-01,139725.8255667975
2011-12-01,186902.60078740167
2012-01-01,148406.35000000006
2012-02-01,109332.11523809526
2012-03-01,127666.35900158479
2012-04-01,136100.22999999992
2012-05-01,109732.6
2012-06-01,118923.96
2012-07-01,132590.9164335664
2012-08-01,122432.44948471921
2012-09-01,112593.2326229508
2012-10-01,126868.15819389111
2012-11-01,144616.28969853403
2012-12-01,174746.36999999997
2013-01-01,129328.39999839997
2013-02-01,94631.52999989995
2013-03-01,153282.05916571122
2013-04-01,131132.88000000003
2013-05-01,135947.56999999998
2013-06-01,138865.20999999996
2013-07-01,141072.02000099997
2013-08-01,144286.14000000013
2013-09-01,127622.63000280001
2013-10-01,123763.75999999995
2013-11-01,149014.41999999993
2013-12-01,197084.38999999996
2014-01-01,157315.53999999992
2014-02-01,115015.75
2014-03-01,132298.77000000005
2014-04-01,167932.90000000002
2014-05-01,138986.52000000008
2014-06-01,137140.34999985993
2014-07-01,164239.68999999997
2014-08-01,166596.76999999996
2014-09-01,147244.11
2014-10-01,173675.01000000004
2014-11-01,189921.28999999957
2014-12-01,252062.3
2015-01-01,180292.000001625
2015-02-01,135308.99999823092
2015-03-01,175596.9999973922
2015-04-01,187976.99999999357
2015-05-01,173253.0000016771
2015-06-01,179230.99999916094
2015-07-01,179191.99999890427
2015-08-01,190549.00000028676
2015-09-01,161427.99999934327
2015-10-01,177012.9999968559
2015-11-01,182414.00000222397
2015-12-01,252869.00000363804
2016-01-01,200165.99999999985
2016-02-01,155100.99999999988
2016-03-01,249524.00000000003
2016-04-01,179478.00000000006
2016-05-01,190490.0
2016-06-01,196078.00000000017
2016-07-01,222092.0000000008
2016-08-01,234807.99999999974
2016-09-01,167544.43980915443
2016-10-01,241353.99999999997
2016-11-01,249211.0
2016-12-01,316497.99999999994
2017-01-01,242161.38710881225
2017-02-01,194504.76982405924
2017-03-01,249608.51298015416
2017-04-01,309640.21063543524
2017-05-01,218342.0329151608
2017-06-01,225798.74169999998
2017-07-01,261593.71889999983
2017-08-01,332782.4825000009
2017-09-01,185283.06249999994
2017-10-01,199012.665521702
2017-11-01,232078.04938000068
2017-12-01,296424.6446000003
2018-01-01,249466.06043200032
2018-02-01,200878.42668800018
2018-03-01,329001.99999999884
2018-04-01,297595.9366350002
2018-05-01,231992.7870999992
2018-06-01,263046.5497929962
2018-07-01,267270.84170000005
2018-08-01,302976.0000000011
2018-09-01,234432.67873958786
2018-10-01,232991.747689236
2018-11-01,250683.6706779118
2018-12-01,331409.6210056427
2019-01-01,302360.70492855995
2019-02-01,236510.97483533187
2019-03-01,294528.46848
2019-04-01,343802.9999999992
2019-05-01,255273.99999999924
2019-06-01,279454.99999999884
2019-07-01,329009.24383442267
2019-08-01,360806.99999999977
2019-09-01,272998.9999999994
2019-10-01,252771.9999999987
2019-11-01,304549.0000000025
2019-12-01,414729.0000000001
2020-01-01,364329.5517241379
2020-02-01,292906.0
2020-03-01,135607.25
2020-04-01,10039.0
2020-05-01,9779.0
2020-06-01,11817.0
2020-07-01,13484.0
2020-08-01,15357.0
2020-09-01,23615.653915275994
2020-10-01,26026.32319531158
2020-11-01,41628.0
2020-12-01,43252.0
2021-01-01,84013.0
2021-02-01,55742.0
2021-03-01,72882.53176771561
