,viajeros
2009-01-01,36864.68
2009-02-01,34375.626947935365
2009-03-01,41815.07709511568
2009-04-01,39699.920000000006
2009-05-01,29301.49
2009-06-01,42220.26857142856
2009-07-01,29302.10432671411
2009-08-01,36674.808375634515
2009-09-01,22432.559999999998
2009-10-01,28111.496666666666
2009-11-01,30217.769999999997
2009-12-01,46536.82
2010-01-01,38813.79588235294
2010-02-01,34140.70714285714
2010-03-01,48877.4096551724
2010-04-01,35008.98
2010-05-01,30130.03513761468
2010-06-01,43036.13000000001
2010-07-01,54402.48616737051
2010-08-01,37660.504350391
2010-09-01,22176.179734513273
2010-10-01,28003.080992034593
2010-11-01,31224.878421052632
2010-12-01,44368.21519124989
2011-01-01,36326.76794117647
2011-02-01,33215.07428571429
2011-03-01,40186.77857193511
2011-04-01,37340.962222222224
2011-05-01,30220.469999999998
2011-06-01,41518.82714285714
2011-07-01,51554.97471143936
2011-08-01,33932.461891891886
2011-09-01,23314.50612244898
2011-10-01,26546.78
2011-11-01,31926.66947368421
2011-12-01,45670.91449612403
2012-01-01,37441.955882352944
2012-02-01,36136.154285714285
2012-03-01,45368.754653318654
2012-04-01,34435.52
2012-05-01,32436.86
2012-06-01,46303.50928571427
2012-07-01,52739.803567502575
2012-08-01,34447.06189189189
2012-09-01,25301.32
2012-10-01,30182.8
2012-11-01,34889.462105263156
2012-12-01,50633.346976744186
2013-01-01,37269.12
2013-02-01,35825.56
2013-03-01,51193.57746719918
2013-04-01,34014.63
2013-05-01,33774.99
2013-06-01,49478.229999999996
2013-07-01,55103.60178403756
2013-08-01,37273.48
2013-09-01,24741.62
2013-10-01,30544.22
2013-11-01,35004.0
2013-12-01,51466.94
2014-01-01,41190.0
2014-02-01,37782.0
2014-03-01,48513.964338781574
2014-04-01,43346.99999999999
2014-05-01,36761.0
2014-06-01,49415.0
2014-07-01,53999.0
2014-08-01,39297.0
2014-09-01,26248.0
2014-10-01,32329.0
2014-11-01,37089.0
2014-12-01,53249.0
2015-01-01,41355.99999999999
2015-02-01,40917.500000006
2015-03-01,52562.28445007421
2015-04-01,40980.49999999501
2015-05-01,38449.29823269514
2015-06-01,53617.000000001
2015-07-01,55354.00000000199
2015-08-01,40992.499999996
2015-09-01,29004.500000001
2015-10-01,35411.000000006
2015-11-01,40451.499999992
2015-12-01,56449.50000006599
2016-01-01,44319.0
2016-02-01,42271.00000000001
2016-03-01,57334.0
2016-04-01,36741.0
2016-05-01,38261.0
2016-06-01,53314.65625
2016-07-01,61022.75939849624
2016-08-01,39721.0
2016-09-01,28946.585552831235
2016-10-01,34900.0
2016-11-01,36264.0
2016-12-01,44917.02185792349
2017-01-01,39195.50670261119
2017-02-01,42529.46218848276
2017-03-01,50875.63714502272
2017-04-01,44296.686508325016
2017-05-01,36282.41596383848
2017-06-01,53698.309499999996
2017-07-01,67410.1762
2017-08-01,42548.7789
2017-09-01,33377.907199999994
2017-10-01,40340.13270000002
2017-11-01,42153.70020000001
2017-12-01,58531.851500000026
2018-01-01,48371.225399999996
2018-02-01,43650.0
2018-03-01,60940.99999999999
2018-04-01,44653.724799999996
2018-05-01,41647.1468
2018-06-01,60247.00000001205
2018-07-01,66560.0
2018-08-01,49029.773599999724
2018-09-01,32359.412991918132
2018-10-01,43347.80360069978
2018-11-01,49315.87470039622
2018-12-01,69215.6254605011
2019-01-01,52538.00000000001
2019-02-01,46200.99999999999
2019-03-01,57462.0
2019-04-01,52733.99999999985
2019-05-01,44900.00000000024
2019-06-01,62868.00000000015
2019-07-01,67783.0
2019-08-01,49300.00000000019
2019-09-01,33199.00000000008
2019-10-01,41977.0
2019-11-01,47861.99999999975
2019-12-01,65762.99999999993
2020-01-01,52924.0
2020-02-01,51864.0
2020-03-01,23967.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,1452.0
2020-10-01,3539.92095807
2020-11-01,13018.0
2020-12-01,13666.0
2021-01-01,14861.0
2021-02-01,7338.0
2021-03-01,25858.0
