,viajeros
2009-01-01,12563.0
2009-02-01,12654.0
2009-03-01,13825.0
2009-04-01,10601.0
2009-05-01,6358.0
2009-06-01,6673.0
2009-07-01,6358.0
2009-08-01,10196.0
2009-09-01,6333.0
2009-10-01,7379.0
2009-11-01,10933.0
2009-12-01,9234.0
2010-01-01,10352.0
2010-02-01,10722.0
2010-03-01,11607.0
2010-04-01,8772.0
2010-05-01,7165.0
2010-06-01,6545.0
2010-07-01,12351.0
2010-08-01,11623.0
2010-09-01,6166.0
2010-10-01,7995.0
2010-11-01,11269.0
2010-12-01,9715.0
2011-01-01,10822.0
2011-02-01,10937.0
2011-03-01,10761.0
2011-04-01,9256.0
2011-05-01,6754.0
2011-06-01,6471.0
2011-07-01,10579.0
2011-08-01,10055.0
2011-09-01,5973.0
2011-10-01,7460.0
2011-11-01,11264.0
2011-12-01,9270.0
2012-01-01,10130.0
2012-02-01,10811.0
2012-03-01,11248.0
2012-04-01,8270.0
2012-05-01,6649.0
2012-06-01,6141.0
2012-07-01,9818.0
2012-08-01,9111.0
2012-09-01,5887.0
2012-10-01,7803.0
2012-11-01,12079.0
2012-12-01,10331.0
2013-01-01,11020.0
2013-02-01,11161.0
2013-03-01,11055.0
2013-04-01,8589.0
2013-05-01,6823.0
2013-06-01,6939.0
2013-07-01,10115.0
2013-08-01,9395.0
2013-09-01,6472.0
2013-10-01,8508.0
2013-11-01,12819.0
2013-12-01,10278.0
2014-01-01,12665.0
2014-02-01,13163.0
2014-03-01,13156.0
2014-04-01,10750.0
2014-05-01,8132.0
2014-06-01,6936.0
2014-07-01,10932.0
2014-08-01,11314.0
2014-09-01,7342.0
2014-10-01,10110.0
2014-11-01,12942.0
2014-12-01,12176.0
2015-01-01,13365.0
2015-02-01,13353.0
2015-03-01,13729.0
2015-04-01,10615.0
2015-05-01,7902.0
2015-06-01,7506.0
2015-07-01,10992.0
2015-08-01,11617.0
2015-09-01,7656.0
2015-10-01,9264.0
2015-11-01,13036.0
2015-12-01,11906.0
2016-01-01,13490.0
2016-02-01,14424.0
2016-03-01,14440.0
2016-04-01,10223.0
2016-05-01,8356.0
2016-06-01,7186.0
2016-07-01,12095.0
2016-08-01,11714.0
2016-09-01,7775.514561372244
2016-10-01,9211.0
2016-11-01,13120.0
2016-12-01,10490.0
2017-01-01,14248.635364732378
2017-02-01,15380.45135470809
2017-03-01,15708.910951669177
2017-04-01,11567.855572090974
2017-05-01,8655.88711535825
2017-06-01,7506.877
2017-07-01,14278.2023
2017-08-01,13107.543099999994
2017-09-01,9977.906500000001
2017-10-01,10975.303700000004
2017-11-01,14565.343700000012
2017-12-01,12084.999999999995
2018-01-01,15250.8601
2018-02-01,14722.000000000005
2018-03-01,14475.000000000007
2018-04-01,16803.9988
2018-05-01,9188.0
2018-06-01,7948.00000001706
2018-07-01,13823.000000000005
2018-08-01,14564.00000000001
2018-09-01,7909.999999999996
2018-10-01,11338.575700176456
2018-11-01,16124.999999999996
2018-12-01,15374.541998244822
2019-01-01,15717.495683387859
2019-02-01,14719.727563234901
2019-03-01,14301.977169157532
2019-04-01,11712.407142857122
2019-05-01,8600.406249999996
2019-06-01,7460.000000000015
2019-07-01,13609.207300498321
2019-08-01,13252.393939393945
2019-09-01,7548.623589743597
2019-10-01,10032.999999999985
2019-11-01,16410.999999999996
2019-12-01,14061.750000000005
2020-01-01,15717.57847757991
2020-02-01,16748.754738216317
2020-03-01,5999.22472315264
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,113.0
2020-10-01,366.7799997949024
2020-11-01,1475.0
2020-12-01,1100.0
2021-01-01,2334.0
2021-02-01,951.0
2021-03-01,2554.1132655151227
